country,co2,ch4,n2o,co2e_100yr,co2e_20yr
NCL,11706674.538097022,54224.79882605321,335.3294669252468,13309181.381252307,16200259.63601865
NER,31112109.088255107,1939218.2955166593,77236.80393470626,107383757.05258715,212198659.7548732
PRY,35459929.36939767,2006929.4855896446,52451.768923481344,106752636.585125,215450496.6149351
PLW,1400957.1239200465,2063.849617830403,41.17990224828528,1469664.2480281584,1579726.2459501133
PSE,7580611.568464807,60425.81089226472,2463.5122617866828,9915781.230670586,13146542.106600942
SEN,46106312.81624955,712932.8318694509,27511.2181896224,75998649.97599143,117238951.52768473
SGP,235221438.10972875,147569.58535720178,9475.53203829688,263788941.39359552,289245486.37600094
ROU,200711582.74028185,1686914.625226752,82931.12847228698,277902583.38094467,374133477.81183505
SGS,681024.672065039,1724.1408173837747,44.21484479059823,697897.981088383,707350.3592758802
PRT,131561217.94357911,679911.376701283,26924.16993923476,165815968.33160397,210985407.32858983
RUS,5247643671.076248,55067082.32724216,603947.2043567263,7078240389.560412,10051449537.09382
PNG,78358408.47539665,392028.6382622162,10953.742860374894,92508300.74993877,113469232.51443915
POL,693374479.5586026,3995080.289308619,195025.4570533747,865283702.4180809,1084571366.6579726
PRK,141497651.09567535,1587564.9762247659,17846.802806225835,196475172.0362455,287965476.9395485
PYF,4592880.113934235,5947.405765663484,227.2173694996202,4818364.930268279,5136490.876920098
SDN,83078841.49984467,4565492.228148091,140394.8286532289,251775948.2826464,500129669.05539966
RWA,16766394.705511674,378019.37160362926,9275.873380612175,29861418.94161726,50153395.10202935
SHN,187166.76090525603,127.19254443728131,8.245983641556531,192966.3726258109,199750.90828116465
PRI,42211345.41533377,214433.89202674056,4280.371128201548,49367645.72305925,60817111.97660685
REU,15095606.851249134,10292.783449261517,720.6765348520086,15580183.718956439,16128791.167205568
SAU,1486582755.7466638,7456565.84187161,55169.91593122651,1825283877.086144,2349479162.9778647
QAT,382183673.4274334,5678458.527074033,5234.792621503997,548628724.6191586,858869094.5965295
